四川省公共资源交易信息
编号,标题,链接,发布时间,抓取时间
0dd257cc-15d5-4ca8-ae70-9da48e57155f_001,合江县2020年新建公租房配套基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/0dd257cc-15d5-4ca8-ae70-9da48e57155f.html,2020-11-19 10:43:22,2020/12/17 15:10:12
0ef8a2a5-01ad-4aec-9401-23d76b45429c_001,南充市化工园区（河西片区）加压站工程建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201117/0ef8a2a5-01ad-4aec-9401-23d76b45429c.html,2020-11-17 09:16:16,2020/12/17 15:10:13
1934915f-a986-4965-9341-4e8052fa5a1c_001,兰林盘康养中心比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/1934915f-a986-4965-9341-4e8052fa5a1c.html,2020-12-15 14:52:24,2020/12/17 15:10:03
19ac4d5e-9fae-4ac7-9113-14f5f9f41326_001,资中县城区供水管网及供水设施改造提升项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201117/19ac4d5e-9fae-4ac7-9113-14f5f9f41326.html,2020-11-17 16:17:29,2020/12/17 15:10:13
1b1accbe-d0e8-4da1-a31a-5402f6f26255_001,五福桥维修加固工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/1b1accbe-d0e8-4da1-a31a-5402f6f26255.html,2020-12-15 16:30:18,2020/12/17 15:10:03
1ca4b75a-ddb0-4afc-9533-ef17cc51924a_001,凉山州新华书店有限责任公司仓储物流基地比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/1ca4b75a-ddb0-4afc-9533-ef17cc51924a.html,2020-11-19 14:11:39,2020/12/17 15:10:12
1e8ac6b5-2220-4920-ae19-485b53a4041c_001,越西县公安局特巡警大队业务技术用房建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/1e8ac6b5-2220-4920-ae19-485b53a4041c.html,2020-12-03 15:54:58,2020/12/17 15:10:07
2158981a-dfc2-4964-ac30-6bafa0d147ff_001,九龙县华丘旅游基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/2158981a-dfc2-4964-ac30-6bafa0d147ff.html,2020-12-15 09:22:23,2020/12/17 15:10:03
221ed3ad-f392-42da-a2ba-4f58356d9016_001,中江县基层公共卫生能力提升项目（四医院）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201210/221ed3ad-f392-42da-a2ba-4f58356d9016.html,2020-12-10 14:06:22,2020/12/17 15:10:04
24731afc-d372-43d3-9e8e-f6a248c81f4a_001,四川省黑竹沟国家级自然保护区基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/24731afc-d372-43d3-9e8e-f6a248c81f4a.html,2020-12-08 10:40:27,2020/12/17 15:10:06
253757a7-467f-4dae-8336-797874318f72_001,理县桃坪镇市政基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/253757a7-467f-4dae-8336-797874318f72.html,2020-11-19 14:38:21,2020/12/17 15:10:12
264c16bd-0c75-4295-a9c0-41c90fbaba33_001,会东县烈士陵园二期工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201210/264c16bd-0c75-4295-a9c0-41c90fbaba33.html,2020-12-10 10:58:23,2020/12/17 15:10:05
2f9c97e1-9af9-4f55-87a2-9c3d20c01156_001,珠江东路91号老旧院落改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/2f9c97e1-9af9-4f55-87a2-9c3d20c01156.html,2020-12-04 16:58:50,2020/12/17 15:10:06
2fb4b362-4d14-4fa2-830a-08beaf1f2a8b_001,四川省犍为县芭石独立工矿区清溪镇农产品交易中心及茉莉花交易市场比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201117/2fb4b362-4d14-4fa2-830a-08beaf1f2a8b.html,2020-11-17 10:26:19,2020/12/17 15:10:13
30f9c60a-0936-4c75-92fd-676a0bccdea5_001,天府（资阳）·空铁港开发建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/30f9c60a-0936-4c75-92fd-676a0bccdea5.html,2020-11-24 10:24:27,2020/12/17 15:10:11
32b35978-8c1c-4949-84d9-df459eb5ef30_001,青白江凤凰湖旅游景区改造提升工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201118/32b35978-8c1c-4949-84d9-df459eb5ef30.html,2020-11-18 16:52:58,2020/12/17 15:10:12
32b886fe-34b5-4107-b4e8-38cab82a725d_001,凤凰大道绿化提升改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/32b886fe-34b5-4107-b4e8-38cab82a725d.html,2020-12-04 14:13:14,2020/12/17 15:10:07
34feabd1-ef82-49fe-8286-0af0b6970130_001,旺苍县县委党校水毁基础设施应急维护工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201207/34feabd1-ef82-49fe-8286-0af0b6970130.html,2020-12-07 17:10:18,2020/12/17 15:10:06
35bc98e3-6643-46f0-a36f-8040ce25decd_001,安宁园区三棵树工业点进场道路改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201123/35bc98e3-6643-46f0-a36f-8040ce25decd.html,2020-11-23 15:46:14,2020/12/17 15:10:11
365ef316-70dd-426b-b304-f56316a3b665_001,环天?青林上城项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/365ef316-70dd-426b-b304-f56316a3b665.html,2020-12-08 15:29:02,2020/12/17 15:10:05
3746db92-19b0-40b5-9da3-7404ef9462ec_001,广安经开区2016年市政基础设施一期（三标段—东西C干道）建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201120/3746db92-19b0-40b5-9da3-7404ef9462ec.html,2020-11-20 11:28:17,2020/12/17 15:10:12
3b42b88f-75e6-4152-9f5f-2fc0fce90b54_001,四川省森林草原防灭火教育实训基地（一期）建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201210/3b42b88f-75e6-4152-9f5f-2fc0fce90b54.html,2020-12-10 10:11:20,2020/12/17 15:10:05
3b9df3fe-77a3-4098-914c-69558e35b451_001,国家品种测试西南分中心建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201214/3b9df3fe-77a3-4098-914c-69558e35b451.html,2020-12-14 09:03:28,2020/12/17 15:10:04
400bf1db-055a-4791-924d-8932ab819b35_001,2020年机场路维修改造提升工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201210/400bf1db-055a-4791-924d-8932ab819b35.html,2020-12-10 09:55:09,2020/12/17 15:10:05
40aabebf-d7e3-4e73-bb72-92b012577a67_001,凉山州金阳县沙玛土司府景区旅游基础设施建设项目、凉山州金阳县公共服务设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/40aabebf-d7e3-4e73-bb72-92b012577a67.html,2020-12-16 15:44:30,2020/12/17 15:10:02
4468a731-3c39-4a7f-94f9-1261ab298217_001,四川华西绿舍新型建材产业项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201118/4468a731-3c39-4a7f-94f9-1261ab298217.html,2020-11-18 14:17:32,2020/12/17 15:10:13
4697cb2f-569c-47b1-9c3a-64267b9cb4f6_001,河东新区G318国道灾后治理和修复项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/4697cb2f-569c-47b1-9c3a-64267b9cb4f6.html,2020-12-03 14:11:19,2020/12/17 15:10:07
4953c273-0c9c-4379-9097-1cd91731577b_001,阿坝州小金县夹金山敬老院改造提升项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201123/4953c273-0c9c-4379-9097-1cd91731577b.html,2020-11-23 17:02:19,2020/12/17 15:10:11
49551232-1013-41b5-b9d1-18120fe22543_001,南充市主城区污泥处置项目（调度中心工程）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201120/49551232-1013-41b5-b9d1-18120fe22543.html,2020-11-20 10:18:26,2020/12/17 15:10:12
4e78430f-2d0a-414e-93e2-7cdc9fe333e3_001,泸县职业培训实训基地项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/4e78430f-2d0a-414e-93e2-7cdc9fe333e3.html,2020-12-16 16:14:39,2020/12/17 15:10:02
50e10c3a-2c67-4903-af35-eeafb34b7fda_001,顺庆区适老化改造建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/50e10c3a-2c67-4903-af35-eeafb34b7fda.html,2020-12-15 09:35:30,2020/12/17 15:10:03
510a9cef-7d8d-42be-aa43-918c59391ca5_001,圣水北街市政道路建设工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/510a9cef-7d8d-42be-aa43-918c59391ca5.html,2020-12-03 14:10:18,2020/12/17 15:10:07
51857026-26ba-4632-babc-2e36b9ae3994_001,顺庆区适老化改造建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201207/51857026-26ba-4632-babc-2e36b9ae3994.html,2020-12-07 14:54:59,2020/12/17 15:10:06
542d8d9c-a3a0-4669-b227-7a7eb7d7a287_001,永昌第一中学项目红线外道路建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201210/542d8d9c-a3a0-4669-b227-7a7eb7d7a287.html,2020-12-10 16:40:56,2020/12/17 15:10:04
546a368f-f2aa-45c4-b76a-e506bbc1c14b_001,阿坝州“安心工程”藏区干部定居房试点（茂县点）建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/546a368f-f2aa-45c4-b76a-e506bbc1c14b.html,2020-11-30 11:36:24,2020/12/17 15:10:09
5714cc66-a95d-424d-a3b2-a67d4e448c3a_001,金牛区天回镇街道杜家碾社区2、10组，万圣社区5组新建商业及配套设施项目；凤凰山体育公园项目配套热身场地及附属设施用房招标代理比选（第二次）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/5714cc66-a95d-424d-a3b2-a67d4e448c3a.html,2020-11-24 15:08:56,2020/12/17 15:10:10
5716dc3b-857b-4afd-8a88-2b62ea876e3e_001,叙州区蕨溪镇黄金敬老院提档升级改造建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201120/5716dc3b-857b-4afd-8a88-2b62ea876e3e.html,2020-11-20 11:04:24,2020/12/17 15:10:12
5a30f4f4-d0ac-4347-8b70-27cf7bd859f1_001,自贡恐龙旅游综合服务中心与恐龙博物馆互通人行天桥及配套绿化工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/5a30f4f4-d0ac-4347-8b70-27cf7bd859f1.html,2020-12-02 11:04:54,2020/12/17 15:10:07
5f490781-b6af-4c4e-9b58-19d1cc45ffe5_001,富顺县赵化中学校学生宿舍建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/5f490781-b6af-4c4e-9b58-19d1cc45ffe5.html,2020-11-24 15:03:47,2020/12/17 15:10:11
62870514-526b-4b34-879d-293f3e58f547_001,双河镇葡萄井村乡村振兴示范区环境提升项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201120/62870514-526b-4b34-879d-293f3e58f547.html,2020-11-20 10:35:12,2020/12/17 15:10:12
6383b650-0171-4a4c-8747-73875d1aaafd_001,四川省公共卫生综合临床中心建设项目（招标代理机构第二次比选）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/6383b650-0171-4a4c-8747-73875d1aaafd.html,2020-12-15 11:00:22,2020/12/17 15:10:03
64c3bd88-76ba-4b22-a089-9fe90017254f_001,四川省巴中市恩阳区登科街道办事处与花丛镇盛花山村、三合寨村、葫芦村、白果坪村城乡建设用地增减挂钩试点项目区配套基础设施项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/64c3bd88-76ba-4b22-a089-9fe90017254f.html,2020-12-02 14:48:33,2020/12/17 15:10:07
662c6879-2853-4194-a6dd-647421ea7e16_001,金雁小学二装工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/662c6879-2853-4194-a6dd-647421ea7e16.html,2020-12-15 15:20:28,2020/12/17 15:10:03
68db04cb-b147-4d6d-828e-a11ae0b2d500_001,宜宾市翠屏区金秋湖镇王场中心幼儿园建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201123/68db04cb-b147-4d6d-828e-a11ae0b2d500.html,2020-11-23 16:32:25,2020/12/17 15:10:11
69e2ebdc-1a3f-4ca4-bcdd-c41a37b84f94_001,绵竹市剑南镇五路口社区教师新村小区配套基础设施改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/69e2ebdc-1a3f-4ca4-bcdd-c41a37b84f94.html,2020-12-01 09:29:16,2020/12/17 15:10:08
6a0744c0-2a7d-4e8d-a26e-cf7db1973b5f_001,盐源县官地镇乡镇干部安心工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/6a0744c0-2a7d-4e8d-a26e-cf7db1973b5f.html,2020-11-30 09:15:27,2020/12/17 15:10:09
6de38cb6-76ca-46a3-b0b1-a98b570b63e1_001,巴中市公安局恩阳分局曾家坝派出所业务用房建设项目、巴中市公安局恩阳分局登科派出所业务用房建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/6de38cb6-76ca-46a3-b0b1-a98b570b63e1.html,2020-11-26 15:46:56,2020/12/17 15:10:09
718b1a44-291b-4fb5-ba32-ec8a19b2fb26_001,四川省巴中市恩阳区文治街道与九镇乡八卦石村、大树坪村城乡建设用地增减挂钩试点项目区配套基础设施项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/718b1a44-291b-4fb5-ba32-ec8a19b2fb26.html,2020-12-16 16:40:33,2020/12/17 15:10:02
73629f8c-9558-4c33-824e-c889435e5770_001,高顶山矿区生态修复和基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201117/73629f8c-9558-4c33-824e-c889435e5770.html,2020-11-17 11:50:38,2020/12/17 15:10:13
756b5cb1-a2cc-408a-b4da-721f24b09e8e_001,经开工业水厂退水处理系统建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201117/756b5cb1-a2cc-408a-b4da-721f24b09e8e.html,2020-11-17 09:16:15,2020/12/17 15:10:13
75e19c20-93f0-4bae-987f-490f667a6cb8_001,金堂食用菌产业园功能区农产品精深加工园四期场平工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/75e19c20-93f0-4bae-987f-490f667a6cb8.html,2020-12-15 15:00:16,2020/12/17 15:10:03
76aa75a0-3172-452c-bb65-438d39b11df1_001,四川绵阳安州工业园区兴业路道路工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/76aa75a0-3172-452c-bb65-438d39b11df1.html,2020-11-30 10:11:13,2020/12/17 15:10:09
77049d8a-e03b-48b6-8967-c91781942523_001,绵阳市朝阳片区国有工矿棚户区改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/77049d8a-e03b-48b6-8967-c91781942523.html,2020-12-02 14:47:16,2020/12/17 15:10:07
77677f54-975b-4653-954c-9dc81b24bb3c_001,平武县北岭智慧绿道项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/77677f54-975b-4653-954c-9dc81b24bb3c.html,2020-11-25 14:09:25,2020/12/17 15:10:10
78660522-dd1d-4701-a0a6-caa82036e79e_001,雅安文教新城市政道路恢复重建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/78660522-dd1d-4701-a0a6-caa82036e79e.html,2020-12-01 14:04:21,2020/12/17 15:10:08
7bdc385a-d6d8-4241-b783-52953fd18bab_001,都江堰市疾病预防控制中心改扩建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/7bdc385a-d6d8-4241-b783-52953fd18bab.html,2020-11-26 14:09:18,2020/12/17 15:10:10
7e177d78-c650-4e94-a296-179666aaeb0f_001,安岳县通贤镇中心卫生院整体迁建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/7e177d78-c650-4e94-a296-179666aaeb0f.html,2020-12-08 15:01:35,2020/12/17 15:10:06
7e474337-6c70-406a-a956-cb4e35942dcd_001,中国（绵阳）科技城临港经济发展区排洪渠政治（科伦医贸至红岩子大桥段）项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/7e474337-6c70-406a-a956-cb4e35942dcd.html,2020-11-26 14:11:43,2020/12/17 15:10:09
7f888da3-dcc2-4e33-83fb-14d3dc34c57a_001,合江县榕山中学学生宿舍建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201214/7f888da3-dcc2-4e33-83fb-14d3dc34c57a.html,2020-12-14 09:15:29,2020/12/17 15:10:04
8135623b-40cf-41f6-b691-4a92a26557f5_001,德阳高新技术产业开发区污水处理设施及配套管网项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201120/8135623b-40cf-41f6-b691-4a92a26557f5.html,2020-11-20 09:54:22,2020/12/17 15:10:12
846ee94d-dab9-4018-9166-8c09cb7d4e70_001,南充市顺庆区潆华三期中央基建投资保障性安居工程基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/846ee94d-dab9-4018-9166-8c09cb7d4e70.html,2020-12-16 16:07:32,2020/12/17 15:10:02
88ac89d7-e3de-4ef4-89ed-130dcf77403b_001,北川羌族自治县老年养护院比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/88ac89d7-e3de-4ef4-89ed-130dcf77403b.html,2020-12-16 10:46:21,2020/12/17 15:10:02
8a265306-7640-464f-9a3e-a22f4de2160d_001,江安县汉安剧场建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/8a265306-7640-464f-9a3e-a22f4de2160d.html,2020-12-04 11:27:27,2020/12/17 15:10:07
8a647251-614d-4854-a918-8b9f8afe9dc5_001,西昌市团结河桥工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/8a647251-614d-4854-a918-8b9f8afe9dc5.html,2020-12-16 15:54:35,2020/12/17 15:10:02
8c3f8b1b-1771-49e0-8277-af586789e999_001,广安区岳广华大道官盛新区段47号地块侧扩建工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/8c3f8b1b-1771-49e0-8277-af586789e999.html,2020-12-08 15:41:22,2020/12/17 15:10:05
8c4d7e4e-598a-492a-8ab5-3ae211c056a0_001,威远县婆城幼儿园（威远县童之梦幼儿园）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/8c4d7e4e-598a-492a-8ab5-3ae211c056a0.html,2020-12-08 16:04:54,2020/12/17 15:10:05
8e5d2071-f028-4678-a238-e52fd77f44b1_001,平昌县得胜镇前锋村仔猪扩繁场比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/8e5d2071-f028-4678-a238-e52fd77f44b1.html,2020-11-25 15:02:16,2020/12/17 15:10:10
8e777a1e-52e8-4fb9-91ce-1fb37e2ac26a_001,广安经开区公安分局业务技术用房装修工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201215/8e777a1e-52e8-4fb9-91ce-1fb37e2ac26a.html,2020-12-15 09:08:44,2020/12/17 15:10:03
913940fc-621a-485d-ad43-b1596bd9f2a9_001,射洪市滨江景观带防洪堤“8.16”灾后恢复重建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201119/913940fc-621a-485d-ad43-b1596bd9f2a9.html,2020-11-19 11:34:29,2020/12/17 15:10:12
914d61e2-e722-4bca-9bf2-37409168ad35_001,德阳中学青衣江路校区运动场改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/914d61e2-e722-4bca-9bf2-37409168ad35.html,2020-11-24 09:20:58,2020/12/17 15:10:11
91d358ac-cdfd-4ec4-8cb5-1c3badd1448b_001,什邡市通航产业园项目配套道路工程（一期）海淀路比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/91d358ac-cdfd-4ec4-8cb5-1c3badd1448b.html,2020-11-25 09:02:28,2020/12/17 15:10:10
93b6da60-2c27-42b3-bf81-3d7437d29efa_001,蓬溪县城乡一体化建设项目（经开区上游片区）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201123/93b6da60-2c27-42b3-bf81-3d7437d29efa.html,2020-11-23 10:00:15,2020/12/17 15:10:11
9475c260-4f34-43b3-ae95-794e4848635e_001,金川县公共服务设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/9475c260-4f34-43b3-ae95-794e4848635e.html,2020-12-01 11:00:47,2020/12/17 15:10:08
995e5de6-100f-4b66-9c01-91a2fc59772f_001,甘孜县城市立交桥工程建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/995e5de6-100f-4b66-9c01-91a2fc59772f.html,2020-12-03 11:57:13,2020/12/17 15:10:07
99880157-0520-43cd-937b-42be03b2b4b0_001,昭觉县服装厂项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/99880157-0520-43cd-937b-42be03b2b4b0.html,2020-11-30 09:15:25,2020/12/17 15:10:09
9f31549e-66b1-416f-87ae-f0be6e85d312_001,平武县南坝镇城镇生活污水处理工程（二期）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/9f31549e-66b1-416f-87ae-f0be6e85d312.html,2020-11-30 14:06:18,2020/12/17 15:10:08
a29360b7-c57c-4924-8e80-62863edd6c1d_001,汶川县8.20灾后恢复重建-汶川县水磨镇白石片区市政基础设施恢复重建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/a29360b7-c57c-4924-8e80-62863edd6c1d.html,2020-11-24 16:31:36,2020/12/17 15:10:10
a4f7c74f-8680-4be2-a383-9fdfefe6f42c_001,青白江区“8.11”、“8.16”区管河道水毁修复工程、青白江区福洪镇农村住房困难群众集中居住保障房建设项目红线外道路及配套比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/a4f7c74f-8680-4be2-a383-9fdfefe6f42c.html,2020-11-25 15:58:58,2020/12/17 15:10:10
aa8df7c3-b1a3-4694-8a5a-f2da57077016_001,九莲洲湿地公园灾后修复工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201124/aa8df7c3-b1a3-4694-8a5a-f2da57077016.html,2020-11-24 10:16:30,2020/12/17 15:10:11
ac9e915c-89b8-4478-a2d9-096e639dd304_001,会东县姜州镇中心校综合楼建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201207/ac9e915c-89b8-4478-a2d9-096e639dd304.html,2020-12-07 11:16:24,2020/12/17 15:10:06
ae97d228-81b0-425c-9467-2543bea2607d_001,兴文县公安局僰王山镇派出所建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201127/ae97d228-81b0-425c-9467-2543bea2607d.html,2020-11-27 16:28:16,2020/12/17 15:10:09
b0034d1d-da49-4e44-ad2c-7e7c5acdfa60_001,安岳县2021年老旧小区改造（北坝社区、龙王庙社区A区、龙王庙社区B区、四方井社区、土城门社区、洗墨池社区、兴安社区A区、兴安社区B区）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201216/b0034d1d-da49-4e44-ad2c-7e7c5acdfa60.html,2020-12-16 10:08:25,2020/12/17 15:10:03
b3ca92d7-441d-400e-9763-0488b3418d64_001,珙县底洞镇第二幼儿园、珙县孝儿镇第二幼儿园建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/b3ca92d7-441d-400e-9763-0488b3418d64.html,2020-12-02 09:12:27,2020/12/17 15:10:08
b5147cfa-423c-40c7-9782-b1731bd89e59_001,武胜县县城内涝点整治工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201208/b5147cfa-423c-40c7-9782-b1731bd89e59.html,2020-12-08 16:05:27,2020/12/17 15:10:05
